message,food,recharge,support,reminders,travel,nearby,movies,casual,other
7am everyday,F,F,F,T,F,F,F,F,F
chocolate cake,T,F,F,F,F,F,F,F,F
closed mortice and tenon joint door dimentions,F,F,T,F,F,F,F,F,F
train eppo kelambum,F,F,F,F,T,F,F,F,F
yesterday i have cancelled the flight ticket,F,F,F,F,T,F,F,F,F
chamge it to 12pm to 9pm,F,F,F,F,T,F,F,F,F
i want too going rajasthan,F,F,F,F,T,F,F,F,F
room,F,F,F,F,T,F,T,F,F
can you please arrange flight tickets?,F,F,F,F,T,F,F,F,F
what kind of reminder,F,F,F,T,F,F,F,F,F
jamshedpur jharkhand,F,F,F,F,F,T,F,F,F
noidaa secot 44,T,F,T,F,T,F,F,F,F
no flight of spicejet,F,F,F,F,T,F,F,F,F
or uber,F,F,F,F,T,F,F,F,F
3.3.17,F,F,F,F,T,F,F,F,F
why fare so high,F,F,F,F,T,F,F,F,F
i have to know about train running from jalgaon to pune,F,F,F,F,T,F,F,F,F
pls send current status of my train ticket,F,F,F,F,T,F,F,F,F
yes i've got the reminder now,F,F,F,T,F,F,F,F,F
please wake me up today at 6am,F,F,F,T,F,F,F,F,F
patli to aligarh 	train in this week,F,F,F,F,T,F,F,F,F
can you look up for some flight options for me ?,F,F,F,F,T,F,F,F,F
what about my thrursday reminder?,F,F,F,T,F,F,F,F,F
for reminding me,F,F,F,T,F,F,F,F,F
payment were made through ola money,F,F,F,F,T,F,F,F,F
silchar guwahati,F,F,F,F,T,F,F,F,F
five people,T,F,F,F,T,F,T,F,F
"		i would like to cancel my wake up call for sun, 05 march at 05:00 am { reminder_list: 708936, user_id: 1982962, task_name: wakeup, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
"hey, can you find me the nearest medical store?{task}",F,F,F,F,F,T,F,F,F
please  details of  train  no 12630,F,F,F,F,T,F,F,F,F
9761004710,F,F,F,T,T,F,F,F,F
for information,F,F,F,T,F,F,F,F,F
within one & half hour,F,F,F,T,T,F,F,F,F
any cashback on train booking?,F,F,F,F,T,F,F,F,F
i need to u contact,T,F,T,F,F,T,F,F,F
canara bank atm,F,F,F,T,F,F,F,F,F
"		i would like to cancel my `wish soni happy birthday!` reminder for tue, 06 february at 10:00 am { reminder_list: 659272, user_id: 1968352, task_name: birthday, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F
i. looking for an railway reservation ticket counter,F,F,F,F,T,F,F,F,F
train no:11058,F,F,F,F,T,F,F,F,F
for march 3rd morning 7am,F,F,F,T,F,F,F,F,F
i want to pay my phone bill,F,T,F,F,F,F,F,F,F
already just now i recharged through haptik,F,T,F,F,F,F,F,F,F
i would like to cancel 1 more reminder,F,F,F,T,F,F,F,F,F
please book the train tickets,F,F,F,F,T,F,F,F,F
2 ac,F,F,F,F,T,F,F,F,F
where's  my cashback,F,F,F,F,T,F,F,F,F
thalassery,T,F,T,F,T,T,T,F,F
i need to order 2 birthday cakes.,T,F,F,F,F,F,F,F,F
nearest dominos,F,F,F,F,F,T,F,F,F
my pickup is -,F,F,F,F,T,F,F,F,F
mini,F,F,F,F,T,F,F,F,F
airtel number,F,T,F,F,F,F,F,F,F
cash back is there know ?,F,T,F,F,T,F,F,F,F
set another reminder {type: anniversary},F,F,F,T,F,F,F,F,F
"i want to know reminder of birthday is for once or every year,??",F,F,F,T,F,F,F,F,F
i need driver,F,F,T,F,T,F,F,F,F
is there any physiotherapy available for home service near me,F,F,F,F,F,T,F,F,F
may i pay punjab state electricity bill,F,T,F,F,F,F,F,F,F
you have cheeted me i asked for alaram mng 3.30,F,F,F,T,F,F,F,F,F
then what can i do. that you find my shop for someone,F,F,F,F,F,T,F,F,F
another station,F,F,F,F,T,F,F,F,F
near by historical sites,F,F,F,F,F,T,F,F,F
i want an iob atm,F,F,F,F,F,T,F,F,F
can i apply referal code for ride,F,F,F,F,T,F,F,F,F
bars near tarnaka,F,F,F,F,F,T,F,F,F
what is a rated?,F,F,F,F,F,F,T,F,F
pls cancel,F,F,F,T,T,F,F,F,F
