pid,sentence1,sentence2,label
0,I need to book a flight,transaction fees on flight booking,0
1,Still not got any confirmation from operator,I did not get cashback,0
2,View Maximum Funding,Maximum Funding,1
3,i want to know interest rates,Check Interest Rates,0
4,Documents Required,Documents,0
6,Check Interest rates,Interest Rates,1
7,Interest Rates,Check Interest rates,1
8,more flights,please show me more flights,1
9,connecting issue,I am having problem connecting,1
10,I did not get cashback,I not get Cash back,0
11,Breakdown of fees to open the account?,fees to open the account,1
13,still doesn't work,Still it is not getting connected,0
14,"no, I am not married",no,0
15,i want ticket from mumbai to pune,please proceed below flights new delhi to bangalore 1 adult - onward flight - 3038 jet airways 9w-823 dep 02 50 pm 29 dec,0
16,Is there another way to receive the pin,pin Received,0
17,quiz conditions,Conditions,0
18,I want to play the quiz,I want to play the predict and win quiz,0
19,Maximum Funding,View Maximum Funding,1
22,Why do you require documents?,Upload required documents,0
23,Any cashback offer on electricity bill?,Electric bill,0
24,bollywood prize announcement,bollywood prizes,1
25,what is my position on the gk leaderboard,last  GK leaderboard,0
26,Why am I getting error messages,login error message,0
27,cancel flight alert,stop flight fare alert,0
28,Check Interest rates,Interest,0
29,Documents,Documents Required,0
30,But i haven't received receipt,Not received yet,0
31,Assist me with Survival Benefits of my life plan,Can you share the Survival benefits?,0
34,Check Interest rates,I want to know interest rates,0
36,Back To products,Take me to Products,0
37,stop all flight alerts,start flight alert,0
39,any cashback on flight tickets,any cashback,1
40,modify my reminder,wake up reminder modify,1
42,12kg LPG cylinder,33kg,0
46,How can I add coupon code in trains,How can I apply coupon code in flights,0
47,Check Fees and Charges,Fees and charges,1
48,Cashback Not Received,cash back not received,0
50,show me your photo,I need your help,0
51,You boy r girl,Kon ho tum boy or a girl,1
52,show the gk leaderboard,Yesterday GK Leaderboard,0
53,login issues,facing issues with login,1
54,how much is the charge for the test,I wanted to understand the cost for test,0
55,When fare changes,tell me when fare falls,0
56,is the lab open on saturday,Is it open today,1
57,stop the flight alert,Flight alerts,1
60,My first account is blocked,My account is blocked,1
64,doesnt work,it worked,0
65,scores and points calculation,Score Point,1
67,eligibility criteria for total secure plus,Eligibility criteria,0
68,Big Basket Gift Cards,"Hi, I am interested in Big Basket Gift Cards  .",1
69,Calculate Premium,calculate premium for saral nivesh,0
71,any offers currently available on flight tickets,any offer running on flights,0
74,formalities to rent unit,process to rent unit,1
75,remind me regarding,remind me regarding wake up,0
76,home cleaning,great lets go home cleaning,0
78,Still not receive on my mail,Didnt receive mail yet,1
80,looking for closest gas station,gas station,1
82,premium,Share the details of premium,0
83,That ID is right,I gave the right ID,1
85,want to buy Flight Tickets,Want to book my seat i booked my ticket already,0
86,any cashback,Is there any cashback,1
87,Documents Required,what all documents are required,0
90,Will I get my deposit refund?,time to get refund of deposit,0
93,I want to play quiz,I want to play the cricket quiz,0
94,Who are playing today's ipl match,latest status of today ipl match between DD vs RR,0
95,premium,calculate premium,0
96,want flight fare alert,set cheapest fare alert,0
97,I need 2 tickets,buy 2 tickets,1
99,Interest Rates,I want to know interest rates,0
100,Which terminal,From which terminal,1
102,big basket,"Hi, I am interested in Big Basket gift cards .",1
103,How much time will it take??,How much time it take to be successful,1
105,Teach me a new word,Send me new words everyday,0
106,"I belong to village, which administration should I choose",Which I administration should I select,0
108,Money plan,money,0
113,how to join contest,Can I join a contest in the middle of the series,0
114,tell me about home loans online,tell me about MCLR,0
116,Do u have any offer for flight,Do u have any promocode,1
117,What's the customer care number?,Customer care number?,1
118,What are the key features of My Life,Need to know features of My life,1
119,Change the date,My ticket is already booked i want to change the date is it possible,0
120,pay my stamp duty,Stamp Duty for gift,0
124,Sofa dry cleaning,i want my clothes dry cleaned,0
125,My order ID was right,Where can I find my order ID?,0
126,I would like to buy home on down payment in 6 months  and 35 crores,I want like to buy samsung headphones in 2 months in 10000,0
127,"Hey, can you set a reminder for me to exercise? .","Hey, can you remind me to exercise?   .",1
129,Gym,prepare a reminder exercise,0
132,available train tickets from vizag to Mumbai,best fare from mumbai to pune,0
134,send me jokes,Need jokes everyday,0
135,total secure +,I want to know the key features of Total Secure,0
138,I want to change my  reminder,can you help me change my reminder,1
139,Help me with Survival Benefits of GCAP,I wanna know about Survival Benefits,0
140,I don't have a lab ID,Check for another lab ID,0
141,Indian,Indian  Resident,0
142,call me at,wake up call,0
144,No,Not now,0
148,Tell me more about cancer-care-insurance,Tell me more about HDFC Life Easy Health Plan,0
149,Not Interested,No,0
150,Survival Benefit,Help me with Survival Benefits of My life,0
151,Can you share the Survival benefits?,Help me with Survival Benefits of saral nivesh,0
152,Don't know the answers,I Don't Know the Lab Id,0
155,like to buy Flight Tickets,I need to book bus ticket,0
156,When I will get confirmation message?,When i will get refund,0
157,cheapest flight guarantee,Cheap flight tickets,0
158,do not remember,I dont remember my LAB ID,1
162,I want to play the quiz,I want to play the predict quiz,0
163,show me ur picture,Your pic pls,1
164,suggest Flight Tickets,search flights,1
166,Cashback not yet received,I did not receive my refund on flight cancellation,0
168,I want to check my order status,I want to check status of a flight,0
173,When will i get cashback,When will I get my confirmation,0
174,What will be the Survival Benefits of GCAP,Survival Benefit,0
175,I want to pay the landline bill,Can i pay landline bills on haptik,1
176,status of address change,status of address change request,1
177,Cashback not received against flight booking,book flight,0
178,I am getting the ticket on mmt for 5800,I didnt get the ticket in email,0
179,Still doesn't work,doesnt work,0
183,Phone pay cash back applicable,cash back not credited,0
184,stop live status alert,live status train,0
186,Show me Uber Cab,want uber,0
187,Maximum people allowed in HUS,max people allowed,0
188,book flight,I want to book flight tickets for ID-E-MILAD,0
189,stop alert flight,start flight alert,0
190,tell me about discount deal on flight booking,Book flight,0
192,what all documents are required,Documents Required,0
194,I want to play quiz,I want to play,1
196,Set wake up reminder,"Hey, can you help me set a wake up call?  .",0
197,still not functional,still doesn't work,0
199,stop the flight alert,Alert for flight,1
202,How to download invoice?,how to download my reports,0
203,I want to check the price of this test,price of test,1
204,"Hey, I want to pay my landline bill .",Want to pay landline bill,1
205,Cant connect,still cant connect my device,0
206,Need more,view more reminders,1
207,calculate gcap premium,premium for GCAP,1
208,Give me invoices,I want invoice for my test,1
209,Go ahead,Go ahead ✔️,1
210,Am I talking to Bot,robot,0
212,show ur pic,can u give me ur number,0
213,want to purchase Flight Tickets,recommend Flight Tickets,0
214,How safe is your cylinder and as a Customer what I should be checking while receiving refills from your side ?,things to check after receiving refill,0
215,wana book a flight,Book a flight,0
217,I dont have flight number,Now flight not required you can help me only train,0
219,I want to lose weight,I am unable to lose weight,1
220,I want more information,more information,1
221,My ID is correct,I gave the correct ID.,1
222,mutual fund risk,Mutual funds,0
224,its not working,still does not work,0
227,I want to see your picture,Can I see your photo?,1
228,Is there a special grade steel used for the cylinders or it's a normal one,types of cylinder used in industries,0
229,Bill payment,My Electricity Bill Payments provider is not there,0
230,cheaper than you,show cheapest,0
232,I need flight,recommend me Flight Tickets,1
234,total secure+,benefits of total secure plus,0
235,Still it is not getting connected,not getting One time password,0
236,Want to know Survival Benefits of saral nivesh plan,Survival Benefit,0
238,Sell Orders,Buy and Sell Orders,1
240,Change Relationship Manager,Relationship Manager Details,0
241,Option 2,Option,0
245,Salaried,I am a Salaried Individual,0
246,There is no franchisee in my location,"If there is no action by distributor on complaint, whom should we contact for immediate redressal",0
249,I have already given,already sent the ticket,1
250,Daily Horoscope modification,I would like to cancel my daily horoscope,0
251,Manage my flight bookings,I want to book a flight,0
252,where can i calculate my EMI,Calculate my EMI,0
256,25-35,Between 5 lacs to 10 lacs,0
259,please resend the boarding pass to my email,Best flight ticket to thailand,0
260,Duke 200,ktm duke 200,1
264,Are the vouchers transferable among children of Song of Joy?,Voucher Transfer,0
266,14 th feb morning flight to goa 7 adults 2 kids,dd __city__,0
267,I am a salaried Individual,Salaried,0
268,33 kg cylinder,450 KG Maxima Cylinder,0
269,Complaint Status,What is my Complaint Status?,1
270,want to get my report but I dont have Lab id,By when I can get the report?,0
271,Can you give me a number to call on ?,Number to call on,1
272,calculate premium,premium,0
273,i want flights from mumbai to delhi,want flight fare alert,0
278,I need a reminder for calling someone,show reminders,0
279,Supply of LPG for Hotel or canteen,LPG Supply,0
280,You are not responding me,You are not responding me on time,1
281,I need to fast for this test,Should I fast for this test?,1
282,talk to agent,"Yes, connect me to an agent",0
283,remind me jog,call to remind exercise,1
284,where can i calculate my EMI,EMI Calculator,0
285,What content added to identify the leakage?,How to identify the delivery boy,0
288,But in other website it giving me 6133,Search for 7pm,0
290,pin not working,No pin received yet,1
292,72 hrs crossed,72 hrs have passed,0
294,I gave the correct ID.,The id is correct,1
