i want to go secundrabad to tandur,F,F,F,F,F,T,F,F,F
More cover of football in lyf flame 1,F,F,F,F,F,F,F,F,T
i need details for nearby metropolis laboratory,F,F,F,F,T,F,F,F,F
Ottappaalam Palakkad trains,F,F,F,F,F,T,F,F,F
kittu unnadu jagratta,F,F,F,T,F,F,F,F,F
20 march to 23 march,F,F,T,F,F,T,F,F,F
byeee,F,F,F,F,F,F,F,T,F
Cancel out all future reminders,F,F,T,F,F,F,F,F,F
thnks beautiful,F,F,F,F,F,F,F,T,F
on 15 early morning,F,F,T,F,F,T,F,F,F
waise paiso ki zyada jldi nhi hai muje..aram se bi diye to chlta,T,T,F,T,F,T,T,F,F
Write a complaint on cognizance company,F,T,F,F,F,F,F,F,F
Full length shrug,F,F,F,F,F,F,F,F,T
"at location nathganga, loni, rahata",F,F,F,F,T,F,F,F,F
Nearest Mall,F,F,F,T,F,F,F,F,F
"i want know that india,s top ten appears garments export company in india",F,F,F,F,F,F,F,F,T
there is a cessna lifeline animal hospital,F,F,F,F,T,F,F,F,F
send me the schedule for mumbai indians at wankhede stadium for ipl 2017,F,F,F,F,T,F,F,F,F
I want to buy a laptop,F,F,F,F,F,F,F,F,T
I want to buy iPhone 7,F,F,F,F,F,F,F,F,T
please schedule the appointment with venkatesh for house rent in srnagar colony,F,F,T,F,F,F,F,F,F
ek minute dijiye sir pahele check karta hoo ke yahan kya kya hai,F,F,F,F,F,F,F,F,F
"reminder me will on tomorrow, ""give money to vishal"" at 10:00 am",F,F,T,F,F,F,F,F,F
k,F,F,F,F,F,F,F,T,F
my seats are confirmed?,F,F,F,F,F,T,F,F,F
daily wake up me on this time,F,F,T,F,F,F,F,F,F
"Hello, can u show some light shirt & trouser",F,F,F,F,F,F,F,F,T
10/23/2017,F,F,T,F,F,F,F,F,F
Yes i want early morning buses,F,F,F,F,F,T,F,F,F
cancel this,F,F,F,F,F,F,F,T,F
I need some watch shops near by,F,F,F,T,F,F,F,F,F
can i get near by theater,F,F,F,T,F,F,F,F,F
shruti plz cancel my wake up reminder upto 6th mar,F,F,T,F,F,F,F,F,F
Kal ki train gujrat express ki waiting bataiye na,F,F,F,F,F,T,F,F,F
Whch movie release today,F,F,F,T,F,F,F,F,F
thanks pooja ji,F,F,F,F,F,F,F,T,F
no i want at 5'o clock at morning,F,F,T,F,F,F,F,F,F
It's tatkaal  tickets you just - 120,F,F,F,F,F,T,F,F,F
Can you help me with the nearest axis bank atm?,F,F,F,F,T,F,F,F,F
mr wasim,F,F,F,F,F,F,F,T,F
6644,F,F,F,F,F,T,T,F,F
i hv already ordered 2 tickets 	the snap shot i m sending u,F,F,F,F,F,T,F,F,F
