message,food,support,reminders,movies,nearby,travel,recharge,ipl,casual,other
i need dominos  pizza,T,F,F,F,F,F,F,F,F,F
tsspcdl,F,F,F,F,F,F,T,F,F,F
send book details mail on my gmail account   rameshshaha8584@gmail.com,F,F,F,F,F,T,F,F,F,F
pls tell me seats available in train from pune to nagda,F,F,F,F,F,T,F,F,F,F
how is semi-final winner,F,F,F,F,F,F,F,T,F,F
will i get 75 cashback on this ride,F,F,F,F,F,T,F,F,F,F
can you set an wake-up alarm for me,F,F,T,F,F,F,F,F,F,F
where is the code,T,T,F,T,F,T,T,F,F,F
no as of now,F,F,F,F,F,F,F,F,T,F
i need bt _numeral_,F,F,F,F,F,F,F,T,F,F
am traveling right now,F,F,F,F,F,F,F,F,T,F
i will manage,F,F,F,F,F,F,F,F,T,F
"		i would like to cancel my wake up call for sat, 04 march at 07:35 am { reminder_list: 701817, user_id: 1937293, task_name: wakeup, offset: 0, api_name: exotel }",F,F,T,F,F,F,F,F,F,F
"		i would like to cancel my `wish bhuvi happy birthday!` reminder for mon, 06 march at 04:59 am { reminder_list: 683263, user_id: 1976377, task_name: birthday, offset: 0, api_name: exotel }",F,F,T,F,F,F,F,F,F,F
Reminder - its time to do your presentation,F,F,T,F,F,F,F,F,F,F
pls help,F,F,F,F,F,F,F,F,T,F
for a single over update me,F,F,F,F,F,F,F,T,F,F
reminder to pick up a document,F,F,T,F,F,F,F,F,F,F
yazdani bakery,F,F,F,F,T,F,F,F,F,F
"		i would like to cancel my drink water reminder reminder for everyday at every 1 hour from 10:00 am to 8:00 pm. { reminder_list: 644135, user_id: 828831, task_name: drink_water, offset: 0, api_name: exotel }",F,F,T,F,F,F,F,F,F,F
Do u hv any traveling hotel discount,F,F,F,F,F,T,F,F,F,F
that be all,F,F,F,F,F,F,F,F,T,F
who iswon the match,F,F,F,F,F,F,F,T,F,F
this has to come in message not call,F,F,T,F,F,F,F,F,F,F
okey thank u harsh,F,F,F,F,F,F,F,F,T,F
sure!,F,F,F,F,F,F,F,F,T,F
Budget 1500,F,F,F,F,F,F,F,F,F,T
Same Day Arrival,F,F,F,F,F,T,F,F,F,F
axis atm to amount deposit,F,F,F,F,T,F,F,F,F,F
mall,F,F,F,F,T,F,F,F,F,F
thanking you saumya,F,F,F,F,F,F,F,F,T,F
hw r u ??,F,F,F,F,F,F,F,F,T,F
Can u show me in brands,F,F,F,F,F,F,F,F,F,T
ohhhh..sorry...i want to set another subject reminder,F,F,T,F,F,F,F,F,F,F
need to get tickets for ipl _numeral_ in banglore,F,F,F,F,F,F,F,T,F,F
for me?? have i completed 3 cab rides??,F,F,F,F,F,T,F,F,F,F
"i would like to cancel my wake up call for everyday at 06:20 am { reminder_list: 213830, user_id: 937002, task_name: wakeup, offset: 0, api_name: exotel }",F,F,T,F,F,F,F,F,F,F
i dont need any ifo about flight,F,F,F,F,F,T,F,F,F,F
citibank,F,F,F,F,T,F,F,F,F,F
Biriyani,T,F,F,F,F,F,F,F,F,F
send me your dp,F,F,F,F,F,F,F,F,F,T
i want shopping,F,F,F,F,F,F,F,F,F,T
66rs talk time rt?,F,F,F,F,F,F,T,F,F,F
kanpur to jhansi,F,F,F,F,F,T,F,F,F,F
flight ticket,F,F,F,F,F,T,F,F,F,F
Oh just booked movie tickets,F,F,F,T,F,F,F,F,F,F
shirdi to manmad bus,F,F,F,F,F,T,F,F,F,F
Liberty leather shoes,F,F,F,F,F,F,F,F,F,T
Pnr status,F,F,F,F,F,T,F,F,F,F
"		i would like to cancel my drink water reminder reminder for everyday at every 1 hour from 10:00 am to 8:00 pm. { reminder_list: 709583, user_id: 1983148, task_name: drink_water, offset: 0, api_name: exotel }",F,F,F,T,F,F,F,F,F,F
for pan pizza i want,T,F,F,F,F,F,F,F,F,F
but it had olives and jalapeños,T,F,F,F,F,F,F,F,F,F
5/5/17 surat to kalyan train no. 22944,F,F,F,F,F,T,F,F,F,F
brilliant grammar high school adilabad,F,F,F,F,T,F,F,F,F,F
Okay book that train,F,F,F,F,F,T,F,F,F,F
no cancel,F,F,F,F,F,F,F,F,F,F
thank you please keep updating,F,F,F,F,F,F,F,T,F,F
i need hdfc bank atm,F,F,F,F,T,F,F,F,F,F
Show corporation bank atm,F,F,F,F,T,F,F,F,F,F
do you book busses?,F,F,F,F,F,T,F,F,F,F
Best roll  making street food restaurant,T,F,F,F,F,F,F,F,F,F
remaind me to allot carpenter krishna for window ac fitting to koteswarrao garu tomorrow at 10 am,F,F,T,F,F,F,F,F,F,F
Suicide squad,F,F,F,T,F,F,F,F,F,F
Place to visit near by me within 50km.,F,F,F,F,T,F,F,F,F,F
"		i would like to cancel my drink water reminder reminder for everyday at every 1 hour from 10:00 am to 8:00 pm. { reminder_list: 329020, user_id: 1848313, task_name: drink_water, offset: 0, api_name: exotel }",F,F,T,F,F,F,F,F,F,F
gn n tc nice chatting with you and thanks for your assistance,F,F,F,F,F,F,F,F,T,F
nearest kbl bank,F,F,F,F,T,F,F,F,F,F
i want cancel reminder set at 8.:06 pm on 5 march,F,F,T,F,F,F,F,F,F,F
add a new to-do,F,F,T,F,F,F,F,F,F,F
i phone 7 plus ka price kya hai,F,F,F,F,F,F,F,F,F,T
what was score of mumbai indians _time_ over,F,F,F,F,F,F,F,T,F,F
is there any recharge coupon valid these days?,F,F,F,F,F,F,T,F,F,F
I want to disconnect reminders via calls,F,F,T,F,F,F,F,F,F,F
yet,F,F,F,F,F,F,F,F,T,F
scoreboards,F,F,F,F,F,F,F,T,F,F
any offer prepaid mobile recharge,F,F,F,F,F,F,T,F,F,F
Can i get food delivery in train while traveling?,T,F,F,F,F,F,F,F,F,F
hlo malvika,F,F,F,F,F,F,F,F,T,F
TT,F,F,F,F,F,F,T,F,F,F
Lenovo laptop service,F,T,F,F,F,F,F,F,F,F
"I want to buy R-M-A Wireless Headphone Wireless Bluetooth Headphone Wireless bluetooth Headphones  (Red Black, In the Ear)",F,F,F,F,F,F,F,F,F,T
"hey , can i get your number..",F,F,F,F,F,F,F,F,F,T
leaving sunday,F,F,F,T,F,F,F,F,F,F
any offer for domestic flights,F,F,F,F,F,T,F,F,F,F
i just wanted to thank you for waking me up,F,F,T,F,F,F,F,F,F,F
for the info,F,F,F,F,F,F,F,F,T,F
price,F,F,F,F,F,F,F,F,T,F
it's international,F,T,F,F,F,T,F,F,F,F
kaishe karte hai transfer ap bta shakte hai,F,F,F,F,F,F,F,F,F,F
oyi,F,F,F,F,F,F,F,F,T,F
and can you please tell me the total runs of virat on this ipl,F,F,F,F,F,F,F,T,F,F
hi aman,F,F,F,F,F,F,F,F,T,F
Need help to fix Dell laptop,F,T,F,F,F,F,F,F,F,F
hiiiiiiiiiiiiiii,F,F,F,F,F,F,F,F,T,F
Table clock,T,F,F,F,F,F,F,F,F,F
i have heat ball in my back..due to body heat...what can i do,F,F,F,F,T,F,F,F,F,F
just send me the nearest room..,F,F,T,F,F,F,F,F,F,F
meeting,F,F,T,F,F,F,F,F,F,F
i need details for nearby metropolis laboratory,F,F,F,F,T,F,F,F,F,F
i want to order food,T,F,F,F,F,F,F,F,F,F
no  riminder work,F,F,T,F,F,F,F,F,F,F
tell me movies showing in abohar punjab,F,F,F,T,F,F,F,F,F,F
give a reminder for study,F,F,T,F,F,F,F,F,F,F
139,F,F,F,F,F,T,F,F,F,F
