sentence_english,sentence_marathi,sentence_hindi,intent
Unable to Make Calls,कॉल करायला होत नाही,कॉल नहीं कर पा रहा हूँ,check volte compatability v2
please fix call problem,कॉल प्रॉब्लेम फिक्स करा प्लीज़,कॉल प्रॉब्लम को फिक्स करें प्लीज,check volte compatability v2
outgoing calls aren't working on my smartphone,माझ्या स्मार्टफोनवर आउटगोइंग कॉल काम करत नाही,आउटगोइंग कॉल काम नहीं कर रहा है मेरे स्मार्टफ़ोन पर,check volte compatability v2
My voice calling is not responding,माझा वॉइसकॉलिंग रिस्पॉन्ड देत नाही,मेरी वॉयस कॉलिंग रेस्पोंद नहीं कर रहा है,check volte compatability v2
my call not going through,जात नाही माझा कॉल,मेरे कॉल नहीं लग रहा,check volte compatability v2
issue with outgoing calls on the smartphone,स्मार्टफोनवर आउटगोइंग कॉलचा इशू,आउटगोइंग कॉल लगने में इशू स्मार्टफोन पर,check volte compatability v2
i can't make calls from this mobile phone,मी या मोबाइल फोनवरून कॉल करू शकत नाही,मैं इस मोबाइल फोन से कॉल नहीं लगा पा रहा हूँ,check volte compatability v2
frequent call disconnection issue,फ्रीक्वन्ट कॉल डिस्कनेक्शनचा इशू,बार बार कॉल डिस्कनेक्शन का इशू,check volte compatability v2
failed outgoing calls on my smartphone,माझ्या स्मार्टफोनवर आउटगोइंग कॉल फेल झाला,आउटगोइंग कॉल फ़ैल हो गया मेरे स्मार्टफोन पर,check volte compatability v2
fail to call from my number,माझ्या नंबरवरुन कॉल फेल झाला,मेरे नंबर से कॉल लगाना फ़ैल हो रहा है,check volte compatability v2
facing issue in calls connecting,इशू आला कॉल कनेक्टिंगमध्ये,कॉल कनेक्ट करने में इशू रहा है,check volte compatability v2
can't place voice calls,वॉइस कॉल करू शकत नाही,वॉइस कॉल नहीं लगा पा रहा हूँ,check volte compatability v2
cannot place calls to other numbers,दुसऱ्या नंबरवर कॉल करू शकत नाही,दूसरे नंबरों पर कॉल नहीं लगा पा रहा हूँ,check volte compatability v2
calls to other numbers aren't going through,दुसऱ्या नंबरवर कॉल करता येत नाही,कॉल नहीं जा रहा है दूसरे नंबरों पर,check volte compatability v2
calling isn't working on my smartphone,माझ्या स्मार्टफोनवर कॉलिंग काम करत नाही,कॉलिंग काम नहीं कर रहा मेरे स्मार्टफ़ोन पर,check volte compatability v2
calling does not work on mobile,मोबाइलवर कॉलिंग चालत नाही,मोबाइल पर कॉलिंग काम नहीं कर रहा है,check volte compatability v2
call connection issue,कॉल कनेक्शनचा इशू,कॉल कनेक्शन इशू,check volte compatability v2
call quality is poor,कॉलची क्वालिटी खराब आहे,कॉल की क्वॉलिटी खराब है,check volte compatability v2
call connection problem,कॉल कनेक्शनचा प्रॉब्लेम,कॉल कनेक्शन का प्रॉब्लम,check volte compatability v2
some call networking issue,काही कॉल नेटवर्किंगचा इशू,कोई कॉल नेटवर्किंग इशू,check volte compatability v2
why is calling not working on my mobile,माझ्या मोबाइलवर कॉलिंग का काम करत नाही,क्यों मेरे मोबाइल पर कॉलिंग काम नहीं कर रहा है,check volte compatability v2
why can i not make calls on my mobile,मी माझ्या मोबाइलवर कॉल का करू शकत नाही,क्यों मैं अपने मोबाइल पर कॉल नहीं कर पा रहा हूं,check volte compatability v2
there is an issue regarding calling,कॉलिंग करताना एक इशू आहे,कॉल करने में इशू आ रहा है,check volte compatability v2
sometimes i experience call failures,कधीकधी माझा कॉल फेल्यर होतो,कभी-कभी कॉल फ़ैल हो जाता है,check volte compatability v2
my smartphone does not make voice calls,माझा स्मार्टफोन वॉइस कॉल करत नाही,मेरा स्मार्टफोन वॉयस कॉल नहीं कर सकता है,check volte compatability v2
problem with calls on the smartphone,स्मार्टफोनवर कॉल्स करताना प्रॉब्लेम,स्मार्टफोन पर कॉल करने पर प्रोब्लेम्स,check volte compatability v2
call failure,कॉल फेल्यर,कॉल फेलियर,check volte compatability v2
failing to make calls,कॉल्स करण्यात अयशस्वी,कॉल करने में फेल हुआ,check volte compatability v2
facing problems while connecting calls,कॉल्स कनेक्ट करताना प्रॉब्लेम्स येत आहेत,कॉल कनेक्ट करने में प्रॉब्लम आ रहा है,check volte compatability v2
calls drop everyday,दररोज कॉल ड्रॉप होतो,हर दिन कॉल ड्रॉप होता है,check volte compatability v2
trouble in making calls,कॉल करताना त्रास होतो,परेशानी कॉल करने में,check volte compatability v2
observing call failures,कॉल फेल्यर्स  पाहणे,कॉल फेल्यर्स देख रहा हूँ,check volte compatability v2
my calling service not working,माझा कॉलिंग सर्विस काम करत नाही,काम नहीं कर रही है मेरा कॉलिंग सर्विस,check volte compatability v2
my call got decline,माझा कॉल डिक्लाइन झाला,मेरे कॉल डिक्लाइन हुआ,check volte compatability v2
my call failed,माझा कॉल फेल झाला,मेरी कॉल फ़ैल हुआ,check volte compatability v2
my call connection failed,माझा कॉल कनेक्शन फेल झाला,मेरा कॉल कनेक्शन फ़ैल हो गया,check volte compatability v2
jio calling problem,जिओ कॉलिंगचा प्रॉब्लेम,जियो का कॉलिंग प्रॉब्लम,check volte compatability v2
jio call failed,जिओचा कॉल फेल झाला,जियो कॉल फ़ैल हुआ,check volte compatability v2
i am still not able to make any calls,मी आतासुद्धा कोणतेही कॉल्स करू शकत नाही,मैं अभी तक कोई भी कॉल नहीं कर पा रहा हूँ,check volte compatability v2
i have issues in calling landline numbers,मला लँडलाईन नंबरवर कॉल करण्यात इशूज आहेत,लैंडलाइन नंबर पर कॉल करने पर इश्यूज आ रहे हैं,check volte compatability v2
i cant call to anyone from my jionumber,कोणालाही कॉल करू शकत नाही मी माझ्या जिओ नंबरवरून,मैं अपने जियो नंबर से किसी को भी कॉल नहीं लगा सकता,check volte compatability v2
